id,name,now_cost,position,team,goals_conceded,points_per_game_rank,selected_rank_type,starts_per_90,penalties_saved,creativity_rank,chance_of_playing_next_round,penalties_order,bonus,transfers_out_event,bps,expected_goals_conceded_per_90,red_cards,influence_rank,expected_assists,threat_rank_type,region,now_cost_rank_type,points_per_game,now_cost_rank,clean_sheets,influence,yellow_cards,points_per_game_rank_type,total_points,expected_goals,creativity,own_goals,creativity_rank_type,expected_goals_per_90,news,expected_goal_involvements,cost_change_event,cost_change_start,threat_rank,transfers_in,expected_goal_involvements_per_90,status,ep_next,penalties_missed,saves_per_90,selected_by_percent,minutes,transfers_in_event,dreamteam_count,expected_goals_conceded,clean_sheets_per_90,ict_index_rank,form,ep_this,selected_rank,saves,in_dreamteam,form_rank_type,direct_freekicks_order,news_added,ict_index,cost_change_start_fall,starts,web_name,value_form,event_points,transfers_out,expected_assists_per_90,cost_change_event_fall,goals_scored,chance_of_playing_this_round,ict_index_rank_type,corners_and_indirect_freekicks_order,influence_rank_type,assists,threat,goals_conceded_per_90,value_season,form_rank
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,640,265,0.0,0,637,0.0,,0,150,0,0.0,0,637,0.00,286,,96,0.0,157,0,0.0,0,293,0,0.00,0.0,0,292,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.00,0,-1,628,439,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,640,0.0,0.0,600,0,False,291,,2024-08-29T11:06:25.241953Z,0.0,1,0,Fábio Vieira,0.0,0,2405,0.0,0,0,0.0,293,,291,0,0.0,0.0,0.0,638
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,0,401,38,0.0,0,345,100.0,,0,4590,2,1.68,0,391,0.00,69,30.0,17,0.5,38,0,0.2,1,42,1,0.00,0.8,0,38,0.0,,0.00,0,-2,653,23825,0.0,a,0.3,0,0.0,0.9,15,6420,0,0.28,0.0,397,0.3,1.3,203,0,False,39,,2024-08-25T11:00:05.312580Z,0.1,2,0,G.Jesus,0.0,1,176066,0.0,0,0,100.0,40,,38,0,0.0,0.0,0.1,380
3,Gabriel dos Santos Magalhães,60,DEF,Arsenal,1,7,9,1.0,0,165,,,4,29180,104,1.08,0,22,0.05,7,30.0,5,7.2,82,3,114.0,1,1,29,0.51,24.8,0,38,0.13,,0.56,0,0,76,320183,0.14,a,7.7,0,0.0,13.1,360,135740,1,4.32,0.75,64,7.7,8.7,31,0,True,1,,,19.1,0,4,Gabriel,1.3,15,353379,0.01,0,1,,10,,6,0,52.0,0.25,4.8,6
4,Kai Havertz,81,FWD,Arsenal,1,17,6,1.0,0,59,,3.0,5,139177,89,1.08,0,18,0.12,7,80.0,4,6.0,12,3,121.0,0,5,24,1.57,60.4,0,2,0.39,,1.69,0,1,16,1043157,0.42,a,4.0,0,0.0,17.1,360,82724,1,4.32,0.75,18,4.0,5.0,18,0,False,12,,,30.8,-1,4,Havertz,0.5,2,759019,0.03,0,2,,4,,3,1,127.0,0.25,3.0,63
5,Karl Hein,40,GKP,Arsenal,0,444,65,0.0,0,421,0.0,,0,184,0,0.0,0,435,0.00,25,,64,0.0,627,0,0.0,0,51,0,0.00,0.0,0,30,0.0,Loaned to Real Valladolid,0.00,0,0,362,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,441,0.0,0.0,528,0,False,49,,2024-08-14T08:31:46.556082Z,0.0,0,0,Hein,0.0,0,2615,0.0,0,0,0.0,51,,51,0,0.0,0.0,0.0,425
6,Jurriën Timber,55,DEF,Arsenal,1,96,67,1.01,0,199,,,0,7566,49,1.2,0,223,0.05,32,152.0,13,3.2,123,2,29.6,2,31,13,0.07,17.2,0,55,0.02,,0.12,0,0,158,70069,0.04,a,4.0,0,0.0,1.2,268,18349,0,3.56,0.67,233,4.0,5.0,184,0,False,18,,,6.7,0,3,J.Timber,0.7,5,52525,0.02,0,0,,75,,85,0,21.0,0.34,2.4,59
7,Jorge Luiz Frello Filho,49,MID,Arsenal,0,175,106,1.0,0,322,,,0,1909,0,0.74,0,385,0.00,244,106.0,178,2.0,274,1,0.4,1,79,2,0.00,1.8,0,180,0.0,,0.00,0,-1,557,12633,0.0,a,0.7,0,0.0,0.3,90,1989,0,0.74,1.0,386,0.7,1.7,317,0,False,145,,,0.2,1,1,Jorginho,0.1,2,21318,0.0,0,0,,197,,195,0,0.0,0.0,0.4,289
8,Jakub Kiwior,49,DEF,Arsenal,0,607,148,0.0,0,599,,,0,921,0,0.0,0,602,0.00,209,172.0,35,0.0,312,0,0.0,0,211,0,0.00,0.0,0,212,0.0,,0.00,0,-1,575,2555,0.0,a,0.0,0,0.0,0.1,0,347,0,0.00,0.0,606,0.0,1.0,402,0,False,212,,,0.0,1,0,Kiwior,0.0,0,10451,0.0,0,0,,212,,212,0,0.0,0.0,0.0,599
9,Gabriel Martinelli Silva,69,MID,Arsenal,0,145,46,1.08,0,31,,,0,15330,45,1.03,0,174,0.74,32,30.0,19,2.5,34,3,42.8,0,65,10,0.25,89.1,0,26,0.09,,0.99,0,-1,55,57289,0.36,a,2.3,0,0.0,1.9,249,5665,0,2.85,1.08,59,2.3,3.3,142,0,False,60,,,19.7,1,3,Martinelli,0.3,3,169849,0.27,0,0,,38,,63,0,66.0,0.0,1.4,135
12,Ethan Nwaneri,45,MID,Arsenal,0,307,109,0.0,0,354,,,0,1899,5,2.02,0,324,0.00,215,241.0,268,1.0,463,0,8.2,0,145,1,0.00,0.4,0,195,0.0,,0.00,0,0,517,17254,0.0,a,0.3,0,0.0,0.3,4,2931,0,0.09,0.0,358,0.3,1.3,324,0,False,165,,,0.9,0,0,Nwaneri,0.1,1,14137,0.0,0,0,,179,,161,0,0.0,0.0,0.2,340
